"Player","Team","Number","Position","Birthdate","College","Year"
"Daimon Shelton","Jacksonville Jaguars","--","RB","1972-09-15","Sacramento State","1998"
"Renaldo Wynn","Jacksonville Jaguars","--","DE","1974-09-03","Notre Dame","1998"
"Flozell Adams","Dallas Cowboys","--","OT","1975-05-18","Michigan State","1998"
"Corbin Lacina","Carolina Panthers","--","OG","1970-11-02","Augustana (SD)","1998"
"Ki-Jana Carter","Cincinnati Bengals","--","RB","1973-09-12","Penn State","1998"
"Warren Moon","Seattle Seahawks","--","QB","1956-11-18","Washington","1998"
"Michael Pittman","Arizona Cardinals","--","RB","1975-08-14","Fresno State","1998"
"Drew Bledsoe","New England Patriots","--","QB","1972-02-14","Washington State","1998"
"Stephen Boyd","Detroit Lions","--","LB","1972-08-22","Boston College","1998"
"Rick Terry","Carolina Panthers","--","DE","1974-04-05","North Carolina","1998"
"Joe Johnson","New Orleans Saints","--","DE","1972-07-11","Louisville","1998"
"Ross Verba","Green Bay Packers","--","OG","1973-10-31","Iowa","1998"
"Doug Flutie","Buffalo Bills","--","QB","1962-10-23","Boston College","1998"
"Amp Lee","Los Angeles Rams","--","RB","1971-10-01","Florida State","1998"
"Calvin Jackson","Miami Dolphins","--","DB","1972-10-28","Auburn","1998"
"Joe Jurevicius","New York Giants","--","WR","1974-12-23","Penn State","1998"
"Jermaine Williams","Oakland Raiders","--","RB","1973-08-14","Houston","1998"
"Ahman Green","Seattle Seahawks","--","RB","1977-02-16","Nebraska","1998"
"Mike Bartrum","New England Patriots","--","TE","1970-06-23","Marshall","1998"
"Terrell Buckley","Miami Dolphins","--","DB","1971-06-07","Florida State","1998"
"Tarek Saleh","Carolina Panthers","--","LB","1974-11-07","Wisconsin","1998"
"Tony Blevins","San Francisco 49ers","--","DB","1975-01-29","Kansas","1998"
"Ted Washington","Buffalo Bills","--","DT","1968-04-13","Louisville","1998"
"Troy Drayton","Miami Dolphins","--","TE","1970-06-29","Penn State","1998"
"Bernardo Harris","Green Bay Packers","--","LB","1971-10-15","North Carolina","1998"
"Josh Miller","Pittsburgh Steelers","--","P","1970-07-14","Arizona","1998"
"Will Wolford","Pittsburgh Steelers","--","OT","1964-05-18","Vanderbilt","1998"
"Ricardo McDonald","Chicago Bears","--","LB","1969-11-08","Pittsburgh","1998"
"James Cannida","Tampa Bay Buccaneers","--","DT","1975-01-03","Nevada","1998"
"Casey Wiegmann","Chicago Bears","--","C","1973-07-20","Iowa","1998"
"Frank Winters","Green Bay Packers","--","C","1964-01-23","Western Illinois","1998"
"Brian Hansen","New York Jets","--","P","1960-10-26","Sioux Falls","1998"
"Fred Thomas","Seattle Seahawks","--","DB","1973-09-11","Tennessee-Martin","1998"
"Mike Alstott","Tampa Bay Buccaneers","--","RB","1973-12-21","Purdue","1998"
"Jim Sweeney","Pittsburgh Steelers","--","C","1962-08-08","Pittsburgh","1998"
"Glenn Cadrez","Denver Broncos","--","LB","1970-01-02","Houston","1998"
"Brad Johnson","Minnesota Vikings","--","QB","1968-09-13","Florida State","1998"
"Vincent Brisby","New England Patriots","--","WR","1971-01-25","Northeast Louisiana","1998"
"Tarik Glenn","Indianapolis Colts","--","OT","1976-05-25","California","1998"
"Craig Newsome","Green Bay Packers","--","DB","1971-08-10","Arizona State","1998"
"Jason Belser","Indianapolis Colts","--","DB","1970-05-28","Oklahoma","1998"
"Amani Toomer","New York Giants","--","WR","1974-09-08","Michigan","1998"
"Terry Cousin","Chicago Bears","--","DB","1975-03-11","South Carolina","1998"
"David Diaz-Infante","Denver Broncos","--","OG","1964-03-31","San Jose State","1998"
"Eric Guliford","New Orleans Saints","--","WR","1969-10-25","Arizona State","1998"
"Chris Thomas","Washington Redskins","--","WR","1971-07-16","Cal Poly-S.L.O.","1998"
"Tyrone Davis","Green Bay Packers","--","TE","1972-06-30","Virginia","1998"
"Charles Mincy","Tampa Bay Buccaneers","--","DB","1969-12-16","Washington","1998"
"Zack Bronson","San Francisco 49ers","--","DB","1974-01-28","McNeese State","1998"
"Todd Sauerbrun","Chicago Bears","--","P","1973-01-04","West Virginia","1998"
"Chris Villarrial","Chicago Bears","--","OG","1973-06-09","Indiana (PA)","1998"
"James Harris","Oakland Raiders","--","DE","1968-05-13","Temple","1998"
"Josh Taves","New Orleans Saints","--","DE","1972-05-13","Northeastern","1998"
"Morris Unutoa","Philadelphia Eagles","--","C","1971-03-10","Brigham Young","1998"
"Myron Bell","Cincinnati Bengals","--","DB","1971-09-15","Michigan State","1998"
"Ron Stone","New York Giants","--","OG","1971-07-20","Boston College","1998"
"Paul Justin","Cincinnati Bengals","--","QB","1968-05-19","Arizona State","1998"
"Keith McKenzie","Green Bay Packers","--","DE","1973-10-17","Ball State","1998"
"Anthony Newman","Oakland Raiders","--","DB","1965-11-21","Oregon","1998"
"Dave Widell","Atlanta Falcons","--","C","1965-05-14","Boston College","1998"
"Mike Horan","Chicago Bears","--","P","1959-02-01","Long Beach State","1998"
"Lenny McGill","Carolina Panthers","--","DB","1971-05-31","Arizona State","1998"
"Jim Flanigan","Chicago Bears","--","DT","1971-08-27","Notre Dame","1998"
"Aaron Beasley","Jacksonville Jaguars","--","DB","1973-07-07","West Virginia","1998"
"Dietrich Jells","Philadelphia Eagles","--","WR","1972-04-11","Pittsburgh","1998"
"Damon Huard","Miami Dolphins","--","QB","1973-07-09","Washington","1998"
"Todd Peterson","Seattle Seahawks","--","K","1970-02-04","Georgia","1998"
"Greg Myers","Cincinnati Bengals","--","DB","1972-09-30","Colorado State","1998"
"Duane Starks","Baltimore Ravens","--","DB","1974-05-23","Miami","1998"
"Cedric Jones","New York Giants","--","DE","1974-04-30","Oklahoma","1998"
"Chuck Smith","Atlanta Falcons","--","DE","1969-12-21","Tennessee","1998"
"Rayna Stewart","Miami Dolphins","--","DB","1973-06-18","Northern Arizona","1998"
"Bam Morris","Kansas City Chiefs","--","RB","1972-01-13","Texas Tech","1998"
"Tim Brown","Oakland Raiders","--","WR","1966-07-22","Notre Dame","1998"
"Mike Frederick","Baltimore Ravens","--","DE","1972-08-06","Virginia","1998"
"Brian Blades","Seattle Seahawks","--","WR","1965-07-24","Miami","1998"
"Johnny McWilliams","Arizona Cardinals","--","TE","1972-12-14","Southern California","1998"
"Ty Howard","Arizona Cardinals","--","DB","1973-11-30","Ohio State","1998"
"Mike Sellers","Washington Redskins","--","RB","1975-07-21","Walla Walla CC (WA)","1998"
"Lee Johnson","Cincinnati Bengals","--","P","1961-11-27","Brigham Young","1998"
"Leslie Shepherd","Washington Redskins","--","WR","1969-11-03","Temple","1998"
"Mitch Palmer","Tampa Bay Buccaneers","--","LB","1973-09-02","Colorado State","1998"
"Michael Booker","Atlanta Falcons","--","DB","1975-04-27","Nebraska","1998"
"Dedric Ward","New York Jets","--","WR","1974-09-29","Northern Iowa","1998"
"Sammy Knight","New Orleans Saints","--","DB","1975-09-10","Southern California","1998"
"Sam Adams","Seattle Seahawks","--","DT","1973-06-13","Texas A&amp;M","1998"
"Leon Searcy","Jacksonville Jaguars","--","OT","1969-12-21","Miami","1998"
"Bobby Hamilton","New York Jets","--","DE","1971-07-01","Southern Mississippi","1998"
"Rich Braham","Cincinnati Bengals","--","C","1970-11-06","West Virginia","1998"
"Jamie Nails","Buffalo Bills","--","OG","1975-06-03","Florida A&amp;M","1998"
"Tim Denton","Washington Redskins","--","DB","1973-02-02","Sam Houston State","1998"
"Reggie Givens","San Francisco 49ers","--","LB","1971-10-03","Penn State","1998"
"Keith Burns","Denver Broncos","--","LB","1972-05-16","Oklahoma State","1998"
"Alvis Whitted","Jacksonville Jaguars","--","WR","1974-09-04","North Carolina State","1998"
"Greg Comella","New York Giants","--","RB","1975-07-29","Stanford","1998"
"Carl Simpson","Arizona Cardinals","--","DE","1970-04-18","Florida State","1998"
"Mitch Jacoby","Los Angeles Rams","--","TE","1973-12-08","Northern Illinois","1998"
"Neil Smith","Denver Broncos","--","DE","1966-04-10","Nebraska","1998"
"Joe Nedney","Arizona Cardinals","--","K","1973-03-22","San Jose State","1998"
"Dorian Boose","New York Jets","--","DE","1974-01-29","Washington State","1998"
"Marcus Jones","Tampa Bay Buccaneers","--","DE","1973-08-15","North Carolina","1998"
"Larry Chester","Indianapolis Colts","--","DT","1975-10-17","Temple","1998"
"Jacquez Green","Tampa Bay Buccaneers","--","WR","1976-01-15","Florida","1998"
"Kerwin Waldroup","Detroit Lions","--","DE","1974-08-01","Central State","1998"
"William Henderson","Green Bay Packers","--","RB","1971-02-19","North Carolina","1998"
"Mike Fox","Carolina Panthers","--","DE","1967-08-05","West Virginia","1998"
"John Henry Mills","Oakland Raiders","--","RB","1969-10-31","Wake Forest","1998"
"Bobby Houston","Minnesota Vikings","--","LB","1967-10-26","North Carolina State","1998"
"Kevin Henry","Pittsburgh Steelers","--","DE","1968-10-23","Mississippi State","1998"
"Oliver Ross","Dallas Cowboys","--","OT","1974-09-27","Iowa State","1998"
"Derek Engler","New York Giants","--","C","1974-07-11","Wisconsin","1998"
"Jamie Brown","San Francisco 49ers","--","OT","1972-04-24","Florida A&amp;M","1998"
"Bobby Taylor","Philadelphia Eagles","--","DB","1973-12-28","Notre Dame","1998"
"Korey Stringer","Minnesota Vikings","--","OT","1974-05-08","Ohio State","1998"
"Larry Centers","Arizona Cardinals","--","RB","1968-06-01","Stephen F. Austin","1998"
"Louie Aguiar","Kansas City Chiefs","--","P","1966-06-30","Utah State","1998"
"Olin Kreutz","Chicago Bears","--","C","1977-06-09","Washington","1998"
"Bryce Paup","Jacksonville Jaguars","--","LB","1968-02-29","Northern Iowa","1998"
"Bucky Brooks","Kansas City Chiefs","--","DB","1971-01-22","North Carolina","1998"
"Reggie Barlow","Jacksonville Jaguars","--","WR","1973-01-22","Alabama State","1998"
"Gabe Northern","Buffalo Bills","--","DE","1974-06-08","Louisiana State","1998"
"Mark Pike","Buffalo Bills","--","LB","1963-12-27","Georgia Tech","1998"
"Mike Mohring","San Diego Chargers","--","DT","1974-03-22","Pittsburgh","1998"
"Robert Holcombe","Los Angeles Rams","--","RB","1975-12-11","Illinois","1998"
"Conrad Hamilton","New York Giants","--","DB","1974-11-05","Eastern New Mexico","1998"
"Adrian Ross","Cincinnati Bengals","--","LB","1975-02-19","Colorado State","1998"
"Larry Bowie","Washington Redskins","--","RB","1973-03-21","Georgia","1998"
"Zack Crockett","Jacksonville Jaguars","--","RB","1972-12-02","Florida State","1998"
"Lamont Hollinquest","Green Bay Packers","--","LB","1970-10-24","Southern California","1998"
"Tyrone Legette","San Francisco 49ers","--","DB","1970-02-15","Nebraska","1998"
"Gus Frerotte","Washington Redskins","--","QB","1971-07-31","Tulsa","1998"
"Bobby Shaw","Seattle Seahawks","--","WR","1975-04-23","California","1998"
"John Elway","Denver Broncos","--","QB","1960-06-28","Stanford","1998"
"Tony Boselli","Jacksonville Jaguars","--","OT","1972-04-17","Southern California","1998"
"Bob Whitfield","Atlanta Falcons","--","OT","1971-10-18","Stanford","1998"
"Billy Granville","Cincinnati Bengals","--","LB","1974-03-11","Duke","1998"
"Jeff Robinson","Los Angeles Rams","--","TE","1970-02-20","Idaho","1998"
"Steve White","Tampa Bay Buccaneers","--","DE","1973-10-25","Tennessee","1998"
"Terry Irving","Arizona Cardinals","--","LB","1971-07-03","McNeese State","1998"
"Patrick Sapp","Arizona Cardinals","--","LB","1973-05-11","Clemson","1998"
"Jason Kyle","Seattle Seahawks","--","LB","1972-05-12","Arizona State","1998"
"Freddie Jones","San Diego Chargers","--","TE","1974-09-16","North Carolina","1998"
"Al Wallace","Philadelphia Eagles","--","DE","1974-03-25","Maryland","1998"
"Raymond Hill","Miami Dolphins","--","DB","1975-08-07","Michigan State","1998"
"Marlon Kerner","Buffalo Bills","--","DB","1973-03-18","Ohio State","1998"
"Robert Griffith","Minnesota Vikings","--","DB","1970-11-30","San Diego State","1998"
"Harold Morrow","Minnesota Vikings","--","RB","1973-02-24","Auburn","1998"
"Jason Dunn","Philadelphia Eagles","--","TE","1973-11-15","Eastern Kentucky","1998"
"Mark Fields","New Orleans Saints","--","LB","1972-11-09","Washington State","1998"
"James McKnight","Seattle Seahawks","--","WR","1972-06-17","Liberty","1998"
"Dwayne Rudd","Minnesota Vikings","--","LB","1976-02-03","Alabama","1998"
"Brent Alexander","Carolina Panthers","--","DB","1970-07-10","Tennessee State","1998"
"Wade Richey","San Francisco 49ers","--","K","1976-05-19","Louisiana State","1998"
"Mike Logan","Jacksonville Jaguars","--","DB","1974-09-15","West Virginia","1998"
"Troy Brown","New England Patriots","--","WR","1971-07-02","Marshall","1998"
"Tyronne Drakeford","New Orleans Saints","--","DB","1971-06-21","Virginia Tech","1998"
"Jeff Herrod","Indianapolis Colts","--","LB","1966-07-29","Mississippi","1998"
"Bo Orlando","Pittsburgh Steelers","--","DB","1966-04-03","West Virginia","1998"
"Greg Ellis","Dallas Cowboys","--","DE","1975-08-14","North Carolina","1998"
"Dave Thomas","Jacksonville Jaguars","--","DB","1968-08-25","Tennessee","1998"
"Jon Ritchie","Oakland Raiders","--","RB","1974-09-04","Stanford","1998"
"Brian Walker","Miami Dolphins","--","DB","1972-05-31","Washington State","1998"
"Sean Landeta","Green Bay Packers","--","P","1962-01-06","Towson","1998"
"Kenny Bynum","San Diego Chargers","--","RB","1974-05-29","South Carolina State","1998"
"Ephraim Salaam","Atlanta Falcons","--","OT","1976-06-19","San Diego State","1998"
"Cameron Cleeland","New Orleans Saints","--","TE","1975-08-15","Washington","1998"
"Frank Wainright","Miami Dolphins","--","TE","1967-10-10","Northern Colorado","1998"
"Grant Wistrom","Los Angeles Rams","--","DE","1976-07-03","Nebraska","1998"
"Robert Bailey","Detroit Lions","--","DB","1968-09-03","Miami","1998"
"Ryan Tucker","Los Angeles Rams","--","OT","1975-06-12","Texas Christian","1998"
"Chris Liwienski","Minnesota Vikings","--","OT","1975-08-02","Indiana","1998"
"Rod Milstead","Washington Redskins","--","OG","1969-11-10","Delaware State","1998"
"Chad Fann","San Francisco 49ers","--","TE","1970-06-07","Florida A&amp;M","1998"
"Darnay Scott","Cincinnati Bengals","--","WR","1972-07-07","San Diego State","1998"
"Mark Dixon","Miami Dolphins","--","OG","1970-11-26","Virginia","1998"
"Marty Carter","Chicago Bears","--","DB","1969-12-17","Middle Tennessee State","1998"
"Harald Hasselbach","Denver Broncos","--","DE","1967-09-22","Washington","1998"
"Frankie Smith","Chicago Bears","--","DB","1968-10-08","Baylor","1998"
"Marlon Forbes","Chicago Bears","--","DB","1971-12-25","Penn State","1998"
"Chris Draft","Chicago Bears","--","LB","1976-02-26","Stanford","1998"
"Walter Jones","Seattle Seahawks","--","OT","1974-01-19","Florida State","1998"
"Steve Martin","Indianapolis Colts","--","DT","1974-05-31","Missouri","1998"
"Mike Compton","Detroit Lions","--","C","1970-09-18","West Virginia","1998"
"Doug Colman","New York Giants","--","LB","1973-06-04","Nebraska","1998"
"Greg Jefferson","Philadelphia Eagles","--","DT","1977-08-31","Central Florida","1998"
"Jermane Mayberry","Philadelphia Eagles","--","OG","1973-08-29","Texas A&amp;M-Kingsville","1998"
"Eric Bieniemy","Cincinnati Bengals","--","RB","1969-08-15","Colorado","1998"
"Billy Lyon","Green Bay Packers","--","DE","1973-12-10","Marshall","1998"
"Chris Gray","Seattle Seahawks","--","OG","1970-06-19","Auburn","1998"
"Roger Duffy","Pittsburgh Steelers","--","C","1967-07-16","Penn State","1998"
"James Roe","Baltimore Ravens","--","WR","1973-09-23","Norfolk State","1998"
"Derrick Thomas","Kansas City Chiefs","--","LB","1967-01-01","Alabama","1998"
"Robert Davis","Green Bay Packers","--","C","1968-12-10","Shippensburg","1998"
"Willie Clark","San Diego Chargers","--","DB","1972-01-06","Notre Dame","1998"
"David Sloan","Detroit Lions","--","TE","1972-06-08","New Mexico","1998"
"Matt Turk","Washington Redskins","--","P","1968-06-16","Wisconsin-Whitewater","1998"
"Darren Hambrick","Dallas Cowboys","--","LB","1975-08-30","South Carolina","1998"
"Robert Porcher","Detroit Lions","--","DE","1969-07-30","South Carolina State","1998"
"Kevin Mawae","New York Jets","--","C","1971-01-23","Louisiana State","1998"
"Isaac Bruce","Los Angeles Rams","--","WR","1972-11-10","Memphis","1998"
"Ink Aleaga","New Orleans Saints","--","LB","1973-04-27","Washington","1998"
"Tony Johnson","New Orleans Saints","--","TE","1972-02-05","Alabama","1998"
"Wayne Simmons","Kansas City Chiefs","--","LB","1969-12-15","Clemson","1998"
"Chris Bordano","New Orleans Saints","--","LB","1974-12-30","Southern Methodist","1998"
"John Flannery","Los Angeles Rams","--","C","1969-01-13","Syracuse","1998"
"Adam Vinatieri","New England Patriots","--","K","1972-12-28","South Dakota State","1998"
"Lemanski Hall","Chicago Bears","--","LB","1970-11-24","Alabama","1998"
"Darren Anderson","Atlanta Falcons","--","DB","1969-01-11","Toledo","1998"
"Kevin Mitchell","New Orleans Saints","--","LB","1971-01-01","Syracuse","1998"
"Bert Emanuel","Tampa Bay Buccaneers","--","WR","1970-10-27","Rice","1998"
"Leonard Wheeler","Carolina Panthers","--","DB","1969-01-15","Troy State","1998"
"Everett McIver","Dallas Cowboys","--","OG","1970-08-05","Elizabeth City State","1998"
"Jerry Ball","Minnesota Vikings","--","DT","1964-12-15","Southern Methodist","1998"
"Anthony Marshall","Philadelphia Eagles","--","DB","1970-09-16","Louisiana State","1998"
"Emanuel Martin","Buffalo Bills","--","DB","1969-07-31","Alabama State","1998"
"Hurvin McCormack","Dallas Cowboys","--","DT","1972-04-06","Indiana","1998"
"Roman Phifer","Los Angeles Rams","--","LB","1968-03-05","UCLA","1998"
"Ferric Collons","New England Patriots","--","DE","1969-12-04","California","1998"
"Matt LaBounty","Seattle Seahawks","--","DE","1969-01-03","Oregon","1998"
"Ryan Wetnight","Chicago Bears","--","TE","1970-11-05","Stanford","1998"
"Scott Galbraith","Green Bay Packers","--","TE","1967-01-07","Southern California","1998"
"Troy Vincent","Philadelphia Eagles","--","DB","1971-06-08","Wisconsin","1998"
"Stalin Colinet","Minnesota Vikings","--","DT","1974-07-19","Boston College","1998"
"Harper LeBel","Baltimore Ravens","--","TE","1963-07-14","Colorado State","1998"
"Marcus Price","San Diego Chargers","--","OT","1972-03-03","Louisiana State","1998"
"Alan Faneca","Pittsburgh Steelers","--","OG","1976-12-07","Louisiana State","1998"
"Ron George","Kansas City Chiefs","--","LB","1970-03-20","Stanford","1998"
"Terance Mathis","Atlanta Falcons","--","WR","1967-06-07","New Mexico","1998"
"Antowain Smith","Buffalo Bills","--","RB","1972-03-14","Houston","1998"
"Chris Hetherington","Indianapolis Colts","--","RB","1972-11-27","Yale","1998"
"Bob Hallen","Atlanta Falcons","--","OG","1975-03-09","Kent State","1998"
"John Fiala","Pittsburgh Steelers","--","LB","1973-11-25","Washington","1998"
"James Folston","Oakland Raiders","--","LB","1971-08-14","Northeast Louisiana","1998"
"Mike Tomczak","Pittsburgh Steelers","--","QB","1962-10-23","Ohio State","1998"
"Wayne Gandy","Los Angeles Rams","--","OT","1971-02-10","Auburn","1998"
"Frank Sanders","Arizona Cardinals","--","WR","1973-02-17","Auburn","1998"
"Marvin Harrison","Indianapolis Colts","--","WR","1972-08-25","Syracuse","1998"
"Tony Mayberry","Tampa Bay Buccaneers","--","C","1967-12-08","Wake Forest","1998"
"Howard Griffith","Denver Broncos","--","RB","1967-11-17","Illinois","1998"
"Chris Dishman","Arizona Cardinals","--","C","1974-02-27","Nebraska","1998"
"Donnie Edwards","Kansas City Chiefs","--","LB","1973-04-06","UCLA","1998"
"Jamal Anderson","Atlanta Falcons","--","RB","1972-09-30","Utah","1998"
"Charles Evans","Minnesota Vikings","--","RB","1967-04-16","Clark Atlanta","1998"
"Ray McElroy","Indianapolis Colts","--","DB","1972-07-31","Eastern Illinois","1998"
"Tyrone Poole","Indianapolis Colts","--","DB","1972-02-03","Fort Valley State","1998"
"John Holecek","Buffalo Bills","--","LB","1972-05-07","Illinois","1998"
"Todd Weiner","Seattle Seahawks","--","OT","1975-09-16","Kansas State","1998"
"Jason Elam","Denver Broncos","--","K","1970-03-08","Hawaii","1998"
"Fred Strickland","Dallas Cowboys","--","LB","1966-08-15","Purdue","1998"
"Edward Ellis","New England Patriots","--","OT","1975-10-13","Buffalo","1998"
"Randy Fuller","Atlanta Falcons","--","DB","1970-06-02","Tennessee State","1998"
"Corey Sawyer","Cincinnati Bengals","--","DB","1971-10-04","Florida State","1998"
"Tim Lester","Pittsburgh Steelers","--","RB","1968-06-15","Eastern Kentucky","1998"
"Derrick Harris","Los Angeles Rams","--","RB","1972-09-18","Miami","1998"
"Erik Kramer","Chicago Bears","--","QB","1964-11-06","North Carolina State","1998"
"Danny Kanell","New York Giants","--","QB","1973-11-21","Florida State","1998"
"Steve Atwater","Denver Broncos","--","DB","1966-10-28","Arkansas","1998"
"George Jones","Jacksonville Jaguars","--","RB","1973-12-31","San Diego State","1998"
"Tom Tumulty","Cincinnati Bengals","--","LB","1973-02-11","Pittsburgh","1998"
"Max Lane","New England Patriots","--","OT","1971-02-22","Navy","1998"
"Dexter Coakley","Dallas Cowboys","--","LB","1972-10-20","Appalachian State","1998"
"Devin Bush","Atlanta Falcons","--","DB","1973-07-03","Florida State","1998"
"Eric Warfield","Kansas City Chiefs","--","DB","1976-03-03","Nebraska","1998"
"Randy Neal","San Francisco 49ers","--","LB","1972-10-29","Virginia","1998"
"Scott Player","Arizona Cardinals","--","P","1969-12-17","Florida State","1998"
"Charlie Clemons","Los Angeles Rams","--","LB","1972-07-04","Georgia","1998"
"Rich Gannon","Kansas City Chiefs","--","QB","1965-12-20","Delaware","1998"
"Pat Harlow","Oakland Raiders","--","OT","1969-03-16","Southern California","1998"
"Frank Hartley","San Diego Chargers","--","TE","1967-12-15","Illinois","1998"
"Leonard Little","Los Angeles Rams","--","LB","1974-10-19","Tennessee","1998"
"Justin Strzelczyk","Pittsburgh Steelers","--","OT","1968-08-18","Maine","1998"
"Lorenzo Styles","Los Angeles Rams","--","LB","1974-01-31","Ohio State","1998"
"Tra Thomas","Philadelphia Eagles","--","OT","1974-11-20","Florida State","1998"
"Reidel Anthony","Tampa Bay Buccaneers","--","WR","1976-10-20","Florida","1998"
"Tony Semple","Detroit Lions","--","OG","1970-12-20","Memphis","1998"
"Joe Andruzzi","Green Bay Packers","--","OG","1975-08-23","Southern Connecticut State","1998"
"Tony Siragusa","Baltimore Ravens","--","DT","1967-05-14","Pittsburgh","1998"
"Tony Parrish","Chicago Bears","--","DB","1975-11-23","Washington","1998"
"Eric Curry","Jacksonville Jaguars","--","DE","1970-02-03","Alabama","1998"
"Brandon Whiting","Philadelphia Eagles","--","DE","1976-07-30","California","1998"
"Karl Williams","Tampa Bay Buccaneers","--","WR","1971-04-10","Texas A&amp;M-Kingsville","1998"
"Chad Eaton","New England Patriots","--","DT","1972-04-06","Washington State","1998"
"Stanley Richard","Washington Redskins","--","DB","1967-10-21","Texas","1998"
"Keith Crawford","Kansas City Chiefs","--","DB","1970-11-21","Howard Payne","1998"
"Morten Andersen","Atlanta Falcons","--","K","1960-08-19","Michigan State","1998"
"Bryant Westbrook","Detroit Lions","--","DB","1974-12-19","Texas","1998"
"Brian Roche","Kansas City Chiefs","--","TE","1973-05-05","San Jose State","1998"
"Matthew Campbell","Carolina Panthers","--","OG","1972-07-14","South Carolina","1998"
"Vaughn Booker","Green Bay Packers","--","DE","1968-02-24","Cincinnati","1998"
"Vinny Testaverde","New York Jets","--","QB","1963-11-13","Miami","1998"
"Darren Bennett","San Diego Chargers","--","P","1965-01-09","","1998"
"Mike Wells","Chicago Bears","--","DT","1971-01-06","Iowa","1998"
"Kyle Brady","New York Jets","--","TE","1972-01-14","Penn State","1998"
"Canute Curtis","Cincinnati Bengals","--","LB","1974-08-04","West Virginia","1998"
"Stephen Alexander","Washington Redskins","--","TE","1975-11-07","Oklahoma","1998"
"Will Moore","Jacksonville Jaguars","--","WR","1970-02-21","Texas Southern","1998"
"Joe Phillips","Los Angeles Rams","--","DT","1963-07-15","Southern Methodist","1998"
"Jamie Sharper","Baltimore Ravens","--","LB","1974-11-23","Virginia","1998"
"Skip Hicks","Washington Redskins","--","RB","1974-10-13","UCLA","1998"
"Richie Cunningham","Dallas Cowboys","--","K","1970-08-18","Southwestern Louisiana","1998"
"Dan Footman","Indianapolis Colts","--","DE","1969-01-13","Florida State","1998"
"Chad Bratzke","New York Giants","--","DE","1971-09-15","Eastern Kentucky","1998"
"Billy Davis","Dallas Cowboys","--","WR","1972-07-06","Pittsburgh","1998"
"Kevin O'Neill","Detroit Lions","--","LB","1975-04-14","Bowling Green","1998"
"Terrance Shaw","San Diego Chargers","--","DB","1973-11-11","Stephen F. Austin","1998"
"Ernest Dixon","Kansas City Chiefs","--","LB","1971-10-17","South Carolina","1998"
"Tim McTyer","Philadelphia Eagles","--","DB","1975-12-14","Brigham Young","1998"
"Ray Lewis","Baltimore Ravens","--","LB","1975-05-15","Miami","1998"
"Randall Godfrey","Dallas Cowboys","--","LB","1973-04-06","Georgia","1998"
"Curtis Martin","New York Jets","--","RB","1973-05-01","Pittsburgh","1998"
"Andre Wadsworth","Arizona Cardinals","--","DE","1974-10-19","Florida State","1998"
"Je'Rod Cherry","New Orleans Saints","--","DB","1973-05-30","California","1998"
"Rae Carruth","Carolina Panthers","--","WR","1974-01-20","Colorado","1998"
"Tony McGee","Cincinnati Bengals","--","TE","1971-04-21","Michigan","1998"
"Wade Wilson","Oakland Raiders","--","QB","1959-02-01","Texas A&amp;M-Commerce","1998"
"Norm Johnson","Pittsburgh Steelers","--","K","1960-05-31","UCLA","1998"
"Oliver Gibson","Pittsburgh Steelers","--","DT","1972-03-15","Notre Dame","1998"
"Roy Barker","San Francisco 49ers","--","DE","1969-02-14","North Carolina","1998"
"Matt Stevens","Washington Redskins","--","DB","1973-06-15","Appalachian State","1998"
"Richie Anderson","New York Jets","--","RB","1971-09-13","Penn State","1998"
"Torrance Small","Indianapolis Colts","--","WR","1970-09-06","Alcorn State","1998"
"Jevon Langford","Cincinnati Bengals","--","DE","1974-02-16","Oklahoma State","1998"
"Darren Woodson","Dallas Cowboys","--","DB","1969-04-25","Arizona State","1998"
"Doug Evans","Carolina Panthers","--","DB","1970-05-13","Louisiana Tech","1998"
"R.W. McQuarters","San Francisco 49ers","--","DB","1976-12-21","Oklahoma State","1998"
"Robert Smith","Minnesota Vikings","--","RB","1972-03-04","Ohio State","1998"
"Ellis Johnson","Indianapolis Colts","--","DT","1973-10-30","Florida","1998"
"Danny Villa","Carolina Panthers","--","C","1964-09-21","Arizona State","1998"
"Jerry Drake","Arizona Cardinals","--","DT","1969-07-09","Hastings","1998"
"Dedrick Dodge","San Diego Chargers","--","DB","1967-06-14","Florida State","1998"
"John Bock","Miami Dolphins","--","C","1971-02-11","Indiana State","1998"
"Brian Simmons","Cincinnati Bengals","--","LB","1975-06-21","North Carolina","1998"
"Blake Brockermeyer","Carolina Panthers","--","OT","1973-04-11","Texas","1998"
"Jorge Diaz","Tampa Bay Buccaneers","--","OG","1973-11-15","Texas A&amp;M-Kingsville","1998"
"Thurman Thomas","Buffalo Bills","--","RB","1966-05-16","Oklahoma State","1998"
"Bruce Smith","Buffalo Bills","--","DE","1963-06-18","Virginia Tech","1998"
"Pete Stoyanovich","Kansas City Chiefs","--","K","1967-04-28","Indiana","1998"
"Eric Metcalf","Arizona Cardinals","--","RB","1968-01-23","Texas","1998"
"Toby Wright","Los Angeles Rams","--","DB","1970-11-19","Nebraska","1998"
"Brentson Buckner","San Francisco 49ers","--","DT","1971-09-30","Clemson","1998"
"Kavika Pittman","Dallas Cowboys","--","DE","1974-10-09","McNeese State","1998"
"Kevin Lockett","Kansas City Chiefs","--","WR","1974-09-08","Kansas State","1998"
